Title,Artist,Genre,Vibe
Circles Around the Truth,Ten02,Rock,Depressing
THE DOOR,Jacobi.e,Rock,Depressing
Duvet,boa,Rock,Depressing
Hurt,Oliver Tree,Rock,Hoodlum
A Match Into Water,Pierce The Veil,Rock,Hoodlum
See U in Hell,Papa Roach,Rock,Hoodlum
Stevie Doesn't Wonder,Hotel Ugly,Rock,Mellow
Ventura hIighway,America,Rock,Mellow
Linger,The Cranberries,Rock,Mellow
Do Me Like That,The Paradox,Rock,Upbeat
Drunk Ambition,Stolen Gin,Rock,Upbeat
DISSIPATE,FaceEater,Rock,Upbeat
Love to Go,Edgehill,Rock,Yearning
Where Your Garden Grows,Free Man,Rock,Yearning
Home,Daughtry,Rock,Yearning
Lucid Dreams,Juice WRLD,Rap/Hip-Hop,Depressing
stay the night,scxba,Rap/Hip-Hop,Depressing
I'm With You,Rushschi,Rap/Hip-Hop,Depressing
YSL Brat,scxba,Rap/Hip-Hop,Hoodrat
cypher season,Kvlture,Rap/Hip-Hop,Hoodrat
BALLIN',Bria,Rap/Hip-Hop,Hoodrat
500 Pounds,Lil Tecca,Rap/Hip-Hop,Mellow
Don�t U Change,D. Savage,Rap/Hip-Hop,Mellow
Shabang,Drake,Rap/Hip-Hop,Mellow
Ballin',Roddy Rich,Rap/Hip-Hop,Upbeat
Roll Tha Dice,556Kurumi,Rap/Hip-Hop,Upbeat
Max,Jokyomade,Rap/Hip-Hop,Upbeat
Flashing Lights,Kanye West,Rap/Hip-Hop,Yearning
Answer,Tyler the Creator,Rap/Hip-Hop,Yearning
Right My Wrongs,Bryson Tiller,Rap/Hip-Hop,Yearning
Treat You Better,Shawn Mendes,Pop,Depressing
Vampire,Olivia Rodrigo,Pop,Depressing
WILDFLOWER,Billie Eilish,Pop,Depressing
Glock Ready,Tt Johnson,Pop,Hoodlum
Smooth Criminal,Michael Jackson,Pop,Hoodlum
Everybody,Saint Lamar,Pop,Hoodlum
Life Goes On,Oliver Tree,Pop,Mellow
Danger,Olivia Dean,Pop,Mellow
Clay Pigeons,Michael Cera,Pop,Mellow
As it Was ,Harry Styles,Pop,Upbeat
Attention,Charlie Puth,Pop,Upbeat
Maniac,Conan Gray,Pop,Upbeat
Locked Out of Heaven,Bruno Mars,Pop,Yearning
One of The Girls,The Weeknd,Pop,Yearning
Sweater Weather,The Neighbourhood,Pop,Yearning
La Llorona,Charles Lloyd,Jazz,Depressing
Fujiyama,The Dave Brubeck Quartet,Jazz,Depressing
Almost blue,Ionn Blignault,Jazz,Depressing
Fantastic Planet,"SOIL & ""PIMP"" SESSIONS",Jazz,Hoodlum
Blue Rondo a la Turk,The Dave Brubeck Quartet,Jazz,Hoodlum
Hatian Fight Song,Mingus Big Band,Jazz,Hoodlum
These Foolish Things,Tribute Trio,Jazz,Mellow
Great Pumpkin Walz,Vince Guaraldi Trio,Jazz,Mellow
hot house,berloiz,Jazz,Mellow
Moanin',Mingus Big Band,Jazz,Upbeat
Clutch,SEATBELTS,Jazz,Upbeat
G.P.,Yutaka Yamada,Jazz,Upbeat
I Fall In Love Too Easily,Chet Baker,Jazz,Yearning
Solitude,Billie Holiday,Jazz,Yearning
(I Love You) For Sentimental Reason,Nat King Cole,Jazz,Yearning
Country Girl (Shake It For Me),Luke Bryan,Country ,Upbeat
Wouldn�t Have to Miss You,Pecos & the Rooftops,Country,Depressing
Drinking Alone,Cole Philips,Country,Depressing
Drunk Driving,Koe Wetzel,Country,Depressing
Devil Always Made Me Think Twice,Chris Stapleton,Country,Hoodlum
My Truck,BRELAND,Country,Hoodlum
Before He Cheats,Carrie Underwood,Country,Hoodlum
D*cked Down in Dallas,Dixon Dallas,Country,Mellow
Heaven,Kane Brown,Country,Mellow
Beer Can't Fix,Thomas Rhett,Country,Mellow
Life Is A Highway,Rascal Flatts,Country,Upbeat
This Is How We Roll,Florida Georgia Line,Country,Upbeat
19 You + Me,Dan + Shay,Country,Yearning
Had Me By Halftime,Morgan Wallen,Country,Yearning
Use Me,Zach Top,Country,Yearning
